"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Verify Media Links not present after deleting entry","Mobile (en)","2026-02-02","skipped","2026-02-02","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","11935","Verify Search bar displayed correctly","Mobile (uk)","2026-02-02","failed","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
"","0","Edit Services and verify changes are present on Services page","Mobile (en)","2026-02-02","skipped","2026-02-02","Services tests","Parametrized/CreateAndEditServicesTests.spec.js","",""
"","2","Verify tags are created and assigned to explain article","Desktop (uk)","2026-02-02","failed","2026-02-02","","Parametrized/CreateAndEditTagTest.spec.js","",""
"","454","Verify Phone widget is displayed correctly on Explain Article page","Mobile (en)","2026-02-02","skipped","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","12636","Edit Recent News and verify changes are present on Main page","Desktop (en)","2026-02-02","failed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","408","Verify Phone widget is displayed correctly on Document page","Mobile (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","30417","Verify titles correctness based on tags selected for Explain articles page","Mobile (uk)","2026-02-02","broken","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","1352","Verify all existing and newly created Service`s categories and items are visible on Main page","Desktop (en)","2026-02-02","failed","2026-02-02","Services tests","Parametrized/CreateAndEditServicesTests.spec.js","",""
"","29823","Verify Leadership is present and reflects updates after changes","Mobile (uk)","2026-02-02","failed","2026-02-02","Employee tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","11623","Verify user is able to switch between Highlighted news","Desktop (uk)","2026-02-02","failed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","6148","Verify Phone widget is displayed correctly on Explain Article page","Desktop (uk)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","12688","Verify if Explain Articles page displays all articles","Desktop (en)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","21490","Verify Quick Links are visible on the page","Desktop (en)","2026-02-02","passed","2026-02-02","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","1","Verify tags are created and assigned to News","Desktop (uk)","2026-02-02","skipped","2026-02-02","","Parametrized/CreateAndEditTagTest.spec.js","",""
"","2","Verify if Other Articles widget is displayed correctly","Mobile (uk)","2026-02-02","skipped","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","10479","Verify if only 3 Explain Articles displayed on Main Page","Mobile (uk)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","13638","Edit Innovative Project and verify new data is visible on the page","Desktop (en)","2026-02-02","passed","2026-02-02","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","18729","Verify titles correctness based on tags selected","Mobile (uk)","2026-02-02","failed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","2293","Verify titles correctness based on tags selected for Explain articles page","Mobile (en)","2026-02-02","failed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","19528","Verify if Child Article works correctly","Desktop (uk)","2026-02-02","failed","2026-02-02","Article tests","Parametrized/CreateAndEditArticleTest.spec.js","",""
"","15135","Edit Innovative Project and verify new data is visible on the page","Mobile (uk)","2026-02-02","passed","2026-02-02","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","0","Verify tags created and assigned to document","Desktop (uk)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","6302","Verify if Email widget is displayed correctly on Explain Articles Page","Desktop (uk)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","0","Verify search by Title and Description","Mobile (en)","2026-02-02","skipped","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
